"cve_id","cwes","description","severity","exploitability","impact","published_date","last_modified_date","refs","code_refs","commits"
"CVE-2023-0028","{'CWE-79'}","Cross-site Scripting (XSS) - Stored in GitHub repository linagora/twake prior to 2023.Q1.1200+.","","","","2023-01-01T01:15Z","2023-01-06T21:36Z","{'https://huntr.dev/bounties/bfd935f4-2d1d-4d3f-8b59-522abe7dd065', 'https://github.com/linagora/twake/commit/61f4c0caf4ce61c839fb304a707972974daacae9'}","{'https://github.com/linagora/twake/commit/61f4c0caf4ce61c839fb304a707972974daacae9'}","{'https://github.com/linagora/twake/commit/61f4c0caf4ce61c839fb304a707972974daacae9'}"
"CVE-2023-0030","{'CWE-416'}","A use-after-free flaw was found in the Linux kernel’s nouveau driver in how a user triggers a memory overflow that causes the nvkm_vma_tail function to fail. This flaw allows a local user to crash or potentially escalate their privileges on the system.","","","","2023-03-08T23:15Z","2023-04-13T17:15Z","{'https://bugzilla.redhat.com/show_bug.cgi?id=2157270', 'https://github.com/torvalds/linux/commit/729eba3355674f2d9524629b73683ba1d1cd3f10', 'https://security.netapp.com/advisory/ntap-20230413-0010/'}","{'https://github.com/torvalds/linux/commit/729eba3355674f2d9524629b73683ba1d1cd3f10'}","{'https://github.com/torvalds/linux/commit/729eba3355674f2d9524629b73683ba1d1cd3f10'}"
"CVE-2023-0046","{'CWE-641'}","Improper Restriction of Names for Files and Other Resources in GitHub repository lirantal/daloradius prior to master-branch.","","","","2023-01-04T12:15Z","2023-01-10T18:39Z","{'https://github.com/lirantal/daloradius/commit/2013c2d1231e99dac918247b69b198ded1f30a1c', 'https://huntr.dev/bounties/2214dc41-f283-4342-95b1-34a2f4fea943'}","{'https://github.com/lirantal/daloradius/commit/2013c2d1231e99dac918247b69b198ded1f30a1c'}","{'https://github.com/lirantal/daloradius/commit/2013c2d1231e99dac918247b69b198ded1f30a1c'}"
"CVE-2023-0048","{'CWE-94'}","Code Injection in GitHub repository lirantal/daloradius prior to master-branch.","","","","2023-01-04T14:15Z","2023-01-10T18:19Z","{'https://huntr.dev/bounties/57abd666-4b9c-4f59-825d-1ec832153e79', 'https://github.com/lirantal/daloradius/commit/3650eea7277a5c278063214a5b71dbd7d77fc5aa'}","{'https://github.com/lirantal/daloradius/commit/3650eea7277a5c278063214a5b71dbd7d77fc5aa'}","{'https://github.com/lirantal/daloradius/commit/3650eea7277a5c278063214a5b71dbd7d77fc5aa'}"
"CVE-2023-0049","{'CWE-125'}","Out-of-bounds Read in GitHub repository vim/vim prior to 9.0.1143.","","","","2023-01-04T16:15Z","2023-05-03T12:16Z","{'https://huntr.dev/bounties/5e6f325c-ba54-4bf0-b050-dca048fd3fd9', 'http://seclists.org/fulldisclosure/2023/Mar/17', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/3Y752EAVACVC5XY2TMGGOAIU25VQRPDW/', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/T33LLWHLH63XDCO5OME7NWN63RA4U5HF/', 'https://support.apple.com/kb/HT213670', 'https://github.com/vim/vim/commit/7b17eb4b063a234376c1ec909ee293e42cff290c', 'https://security.gentoo.org/glsa/202305-16'}","{'https://github.com/vim/vim/commit/7b17eb4b063a234376c1ec909ee293e42cff290c'}","{'https://github.com/vim/vim/commit/7b17eb4b063a234376c1ec909ee293e42cff290c'}"
"CVE-2023-0051","{'CWE-122'}","Heap-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.1144.","","","","2023-01-04T18:15Z","2023-05-03T12:16Z","{'http://seclists.org/fulldisclosure/2023/Mar/17', 'https://support.apple.com/kb/HT213670', 'https://github.com/vim/vim/commit/c32949b0779106ed5710ae3bffc5053e49083ab4', 'https://huntr.dev/bounties/1c8686db-baa6-42dc-ba45-aed322802de9', 'https://security.gentoo.org/glsa/202305-16'}","{'https://github.com/vim/vim/commit/c32949b0779106ed5710ae3bffc5053e49083ab4'}","{'https://github.com/vim/vim/commit/c32949b0779106ed5710ae3bffc5053e49083ab4'}"
"CVE-2023-0054","{'CWE-787'}","Out-of-bounds Write in GitHub repository vim/vim prior to 9.0.1145.","","","","2023-01-04T19:15Z","2023-06-12T20:15Z","{'http://seclists.org/fulldisclosure/2023/Mar/17', 'https://lists.debian.org/debian-lts-announce/2023/06/msg00015.html', 'https://github.com/vim/vim/commit/3ac1d97a1d9353490493d30088256360435f7731', 'https://support.apple.com/kb/HT213670', 'https://huntr.dev/bounties/b289ee0f-fd16-4147-bd01-c6289c45e49d', 'https://security.gentoo.org/glsa/202305-16'}","{'https://github.com/vim/vim/commit/3ac1d97a1d9353490493d30088256360435f7731'}","{'https://github.com/vim/vim/commit/3ac1d97a1d9353490493d30088256360435f7731'}"
"CVE-2023-0055","{'CWE-319'}","Sensitive Cookie in HTTPS Session Without 'Secure' Attribute in GitHub repository pyload/pyload prior to 0.5.0b3.dev32.","","","","2023-01-04T22:15Z","2023-01-11T16:01Z","{'https://github.com/pyload/pyload/commit/7b53b8d43c2c072b457dcd19c8a09bcfc3721703', 'https://huntr.dev/bounties/ed88e240-99ff-48a1-bf32-8e1ef5f13cce'}","{'https://github.com/pyload/pyload/commit/7b53b8d43c2c072b457dcd19c8a09bcfc3721703'}","{'https://github.com/pyload/pyload/commit/7b53b8d43c2c072b457dcd19c8a09bcfc3721703'}"
"CVE-2023-0057","{'CWE-1021'}","Improper Restriction of Rendered UI Layers or Frames in GitHub repository pyload/pyload prior to 0.5.0b3.dev33.","","","","2023-01-05T01:15Z","2023-01-11T15:52Z","{'https://github.com/pyload/pyload/commit/bd2a31b7de54570b919aa1581d486e6ee18c0f64', 'https://huntr.dev/bounties/12b64f91-d048-490c-94b0-37514b6d694d'}","{'https://github.com/pyload/pyload/commit/bd2a31b7de54570b919aa1581d486e6ee18c0f64'}","{'https://github.com/pyload/pyload/commit/bd2a31b7de54570b919aa1581d486e6ee18c0f64'}"
"CVE-2023-0106","{'CWE-79'}","Cross-site Scripting (XSS) - Stored in GitHub repository usememos/memos prior to 0.10.0.","","","","2023-01-07T04:15Z","2023-01-12T15:04Z","{'https://github.com/usememos/memos/commit/0f8ce3dd1696722f951d7195ad1f88b39a5d15d7', 'https://huntr.dev/bounties/5c0809cb-f4ff-4447-bed6-b5625fb374bb'}","{'https://github.com/usememos/memos/commit/0f8ce3dd1696722f951d7195ad1f88b39a5d15d7'}","{'https://github.com/usememos/memos/commit/0f8ce3dd1696722f951d7195ad1f88b39a5d15d7'}"
